ItemName,ItemCode,Quantity
1.0 Ton Split A.C,A01001,29
1.5 Ton Split AC.,A01002,92
2.0 Ton Split A.C.,A01003,54
1.5 Ton Window A.C.,A01004,4
2.0 Ton Window A.C.,A01005,21
7.5 Ton Ductable A.C.,A01006,10
11.0 Ton Ductable AC.,A01007,13
1.2 Ton Split A.C,A01008,10
5.0 Ton Split A.C.,A01009,7
VRV AC Outdoor Unit 10 HP,A01010,1
VRV AC Indoor Unit 1.05 Ton,A01011,10
Evaporative Air Cooling Machine 15000 cfm,A02001,108
Evaporative Air Cooling Machine 12000 cfm,A02002,4
Evaporative Air Cooling Machine 10000 cfm,A02003,11
Evaporative Air Cooling Machine 8000 cfm,A02004,2
Evaporative Air Cooling Machine 5500 cfm,A02005,1
Evaporative Air Cooling Machine 4500 cfm,A02006,4
Evaporative Air Cooling Machine 3500 cfm,A02007,6
Evaporative Air Cooling Machine 2500 cfm,A02008,4
Evaporative Air Cooling Machine 22000 cfm,A02009,13
Evaporative Air Cooling Machine 30000 cfm,A02010,12
Air Cooler Kenstar,A03001,10
Air Cooler Local Body,A03002,7
"Building-Academic, Library , Lecture Hall",B01001,0
Building -Type B House,B01002,0
Building -Type C House,B01004,0
Building-Boys Hall-1,B01005,0
Building-Boys Hall-2,B01006,0
Building-Mess,B01007,0
Building Director House,B01008,0
Building External Development,B01009,0
"Building-Ext Road, Boundry Wall Subsation",B01010,0
Building Food Court,B01011,0
Building-Girls HALL-1,B01012,0
Building-Type E HOUSE,B01013,0
Building-Type F HOUSE,B01014,0
Building-Guest Housc,B01015,0
Building Library Extension,B01016,0
Building Maintain. Store,B01017,0
Building Multipurpose Hall,B01018,0
Building Open Air Theater,B01019,0
Building Professor- House,B01020,0
Building Student Center,B01021,0
Building Telephone Exchange,B01022,0
Building -Temple,B01023,0
Plantation and Lava's Etc,B01024,0
Play Ground,B01025,0
Building-Mess A,B01026,0
Building-Boys Hall-3,B01027,0
Building-Studio Appt,B01028,0
Monitor CRT,C01001,298
Novation Net PC,C01002,90
LCD Monitor TFT,C01013,719
Compaq notebook (Laptop),C01019,1
Dell AL-E5500 Laptop,C01020,7
Dell Vostro 1310 Laptop,C01021,6
Hp Mini laptop,C01022,3
Computer-P4 (CPU),C01023,986
Computer-P4 ( Key Board),C01025,691
Thinklite  PC,C01026,90
